installation_id,year,free,emission
AT_205432,2019,5199,33694
AT_205432,2020,4114,45323
AT_205431,2013,1842,5464
AT_205431,2014,1649,34889
AT_205431,2015,1460,13205
AT_205431,2016,1278,8106
AT_205431,2017,1100,2714
AT_205431,2018,929,4581
AT_205431,2019,763,6449
AT_205431,2020,604,25611
AT_205582,2013,105846,151805
AT_205582,2014,94725,109266
AT_205582,2015,83901,140628
AT_205582,2016,73409,113641
AT_205582,2017,63238,113119
AT_205582,2018,53397,91271
AT_205582,2019,43876,100068
AT_205582,2020,34710,89883
AT_205668,2013,10640,12673
AT_205668,2014,10456,12768
AT_205668,2015,10269,12307
AT_205668,2016,10080,12912
AT_205668,2017,9889,13116
AT_205668,2018,9696,13142
AT_205668,2019,9501,12404
AT_205668,2020,9305,10671
AT_205581,2013,43585,45545
AT_205581,2014,39006,36496
AT_205581,2015,34548,39336
AT_205581,2016,30228,52427
AT_205581,2017,26040,95312
AT_205581,2018,21988,92402
AT_205581,2019,18067,82022
AT_205581,2020,14292,65624
AT_205701,2013,8243,14647
AT_205701,2014,7377,15074
AT_205701,2015,6534,15523
AT_205701,2016,5717,14662
AT_205701,2017,4925,14464
AT_205701,2018,4159,14841
AT_205701,2019,3417,14957
AT_205701,2020,2703,12789
AT_205363,2013,696137,790678
AT_205363,2014,684045,924599
AT_205363,2015,671812,896718
AT_205363,2016,659451,945034
AT_205363,2017,646956,880922
AT_205363,2018,634342,705651
AT_205363,2019,621568,962179
AT_205363,2020,608751,912724
AT_205426,2013,24261,28982
AT_205426,2014,23840,27207
AT_205426,2015,23413,29794
AT_205426,2016,22982,30421
AT_205426,2017,22547,26425
AT_205426,2018,22107,27768
AT_205426,2019,21662,27429
AT_205426,2020,21215,26926
AT_206144,2013,27605,28422
AT_206144,2014,27125,30192
AT_206144,2015,26641,36792
AT_206144,2016,26150,31883
AT_206144,2017,25654,38879
AT_206144,2018,25154,37485
AT_206144,2019,24648,35955
AT_206144,2020,24139,25656
AT_206145,2013,70441,83130
AT_206145,2014,69218,76802
AT_206145,2015,67980,72769
AT_206145,2016,66729,74481
AT_206145,2017,65465,78119
AT_206145,2018,64188,71219
AT_206145,2019,62896,70721
AT_206145,2020,61599,73649
AT_206146,2013,2584,3104
AT_206146,2014,2539,1902
AT_206146,2015,2494,4015
AT_206146,2016,2448,4778
AT_206146,2017,2401,7053
AT_206146,2018,2355,2869
AT_206146,2019,2307,211
AT_206146,2020,176,175
AT_206157,2013,28727,1566
AT_206157,2014,28228,1934
AT_206157,2015,27723,1821
AT_206157,2016,27213,1240
AT_206157,2017,26698,988
AT_206157,2018,26177,1015
AT_206157,2019,25650,975
AT_206157,2020,25122,1421
AT_205911,2013,27249,28305
AT_205911,2014,33471,28244
AT_205911,2015,32872,28186
AT_205911,2016,32267,28754
AT_205911,2017,31657,27910
AT_205911,2018,31039,29497
AT_205911,2019,30416,29007
AT_205911,2020,29789,29152
AT_206124,2013,1919,1912
AT_206124,2014,1885,1115
AT_206124,2015,1851,1525
AT_206124,2016,1818,1835
AT_206124,2017,1783,1527
AT_206124,2018,1749,1474
AT_206124,2019,1714,762
AT_206124,2020,1680,845
AT_206142,2013,1107,1638
AT_206142,2014,1088,833
AT_206142,2015,1068,979
AT_206142,2016,1049,1295
AT_206142,2017,1029,1567
AT_206142,2018,1009,1204
AT_206142,2019,989,715
AT_206142,2020,967,1277
AT_206147,2013,26339,36353
AT_206147,2014,25881,26244
AT_206147,2015,25418,23731
AT_206147,2016,24950,20806
AT_206147,2017,24478,21434
AT_206147,2018,24001,23867
AT_206147,2019,23517,22546
AT_206147,2020,23032,12982
AT_206542,2014,0,32286
AT_206542,2015,0,40942
AT_206542,2016,0,40173
AT_206542,2017,0,37574
AT_206542,2018,0,36124
AT_206542,2019,0,39011
AT_206542,2020,0,36635
AT_206825,2014,0,6870
AT_206825,2015,0,3588
AT_206825,2016,0,2567
AT_206825,2017,0,1046
AT_206825,2018,0,1541
AT_206825,2019,0,220
AT_206825,2020,0,178
AT_206907,2013,0,416
AT_206907,2014,0,457
AT_206907,2015,0,270
AT_206907,2016,0,243
AT_206907,2017,0,384
AT_207233,2016,0,1335
AT_207233,2017,0,1396
AT_207233,2018,0,2196
AT_207647,2016,0,92873
AT_207647,2017,70682,93814
AT_207647,2018,69302,93492
AT_207647,2019,67907,93694
AT_207647,2020,66507,97104
AT_207681,2016,0,203
AT_207681,2017,0,206
AT_207681,2018,0,155
AT_207681,2019,0,56
AT_207681,2020,0,164
AT_207782,2014,0,2984
AT_207782,2015,0,2599
AT_207782,2016,0,2512
AT_208967,2016,0,985
AT_208967,2017,0,2621
AT_208967,2018,0,2869
AT_208967,2019,0,2367
AT_210485,2018,0,7571
AT_210485,2019,0,22944
AT_210485,2020,0,13438
AT_210636,2019,1820940,2253798
AT_210636,2020,1823642,822418
AT_210600,2018,0,6645
AT_210838,2018,0,48630
AT_210838,2019,0,115002
AT_200146,2013,412575,733862
AT_200146,2014,412575,716282
AT_200146,2015,412575,720505
AT_200146,2016,412575,763086
AT_200146,2017,412575,819688
AT_200146,2018,412575,874529
AT_200146,2019,412575,913486
AT_200146,2020,424300,266908
AT_200433,2013,141040,226751
AT_200433,2014,141040,253650
AT_200433,2015,141040,255813
AT_200433,2016,141040,253289
AT_200433,2017,141040,0
AT_200433,2018,141040,0
AT_200433,2019,141040,0
AT_200433,2020,141040,0
AT_200265,2013,146,2697
AT_200265,2014,146,4647
AT_200265,2015,146,5542
AT_200265,2016,146,4647
AT_200265,2017,146,5365
AT_200265,2018,146,4565
AT_200265,2019,146,5209
AT_200265,2020,157,4816
AT_200108,2013,8,1692
AT_200108,2014,8,1720
AT_200108,2015,8,0
AT_200165,2013,16,0
AT_200165,2014,16,0
AT_200165,2015,16,0
AT_200165,2016,16,0
AT_200165,2017,16,0
AT_200165,2018,16,0
AT_200165,2019,16,0
AT_47,2013,28705,34683
AT_47,2014,27565,34693
AT_47,2015,27245,35812
AT_47,2016,26279,37500
AT_47,2017,25326,39282
AT_47,2018,24384,40089
AT_47,2019,23456,39942
AT_47,2020,22541,39026
AT_50,2013,57669,82073
AT_50,2014,56666,81011
AT_50,2015,55662,79640
AT_50,2016,54659,81599
AT_50,2017,54170,84100
AT_50,2018,58593,83757
AT_50,2019,57477,69660
AT_50,2020,56360,71999
AT_51,2013,101514,77313
AT_51,2014,99751,88501
AT_51,2015,97967,100752
AT_51,2016,96165,84713
AT_51,2017,94343,88764
AT_51,2018,92503,69086
AT_51,2019,90640,64788
AT_51,2020,88771,59608
AT_48,2013,66220,74739
AT_48,2014,65070,81039
AT_48,2015,63907,91828
AT_48,2016,62731,70927
AT_48,2017,61542,74543
AT_48,2018,60343,53318
AT_48,2019,59128,45890
AT_48,2020,57908,41229
AT_25,2013,242887,48421
AT_25,2014,237354,53648
AT_25,2015,231818,52815
AT_25,2016,226286,55243
AT_25,2017,220755,56679
AT_25,2018,215233,56227
AT_25,2019,209703,60724
AT_25,2020,204209,58769
AT_41,2013,389,7706
AT_41,2014,348,7093
AT_41,2015,308,5872
AT_41,2016,270,6618
AT_41,2017,232,6783
AT_41,2018,197,5645
AT_41,2019,162,5231
AT_41,2020,128,5440
AT_1,2013,42159,50105
AT_1,2014,41426,50308
AT_1,2015,40685,41989
AT_1,2016,39937,45142
AT_1,2017,39180,48681
AT_1,2018,38416,42302
AT_1,2019,37643,46415
AT_1,2020,36866,43728
AT_118,2013,76040,20717
AT_118,2014,74720,14510
AT_118,2015,73384,12968
AT_118,2016,72034,14351
AT_118,2017,70669,12470
AT_118,2018,69291,12336
AT_118,2019,67896,11800
AT_118,2020,66496,10021
AT_2,2013,15118,19734
AT_2,2014,14856,18498
AT_2,2015,14590,17366
AT_2,2016,14322,17233
AT_2,2017,14051,21031
AT_2,2018,13776,23457
AT_2,2019,13499,26777
AT_2,2020,13221,23144
AT_83,2013,5743,159977
AT_83,2014,5140,129499
AT_83,2015,4553,116886
AT_83,2016,3985,137345
AT_83,2017,3435,137915
AT_83,2018,2903,180671
AT_83,2019,2388,214667
AT_83,2020,1892,177542
AT_31,2013,355431,281768
AT_31,2014,349257,331127
AT_31,2015,343011,328182
AT_31,2016,336700,331383
AT_31,2017,330320,367391
AT_31,2018,323879,328580
AT_31,2019,317358,253322
AT_31,2020,310813,373604
AT_108,2013,17417,28440
AT_108,2014,3897,15358
AT_108,2015,0,14399
AT_108,2016,0,14075
AT_108,2017,0,16682
AT_108,2018,0,15204
AT_108,2019,0,14593
AT_108,2020,0,13941
AT_5,2013,26223,30819
AT_5,2014,25697,29079
AT_5,2015,25167,28969
AT_5,2016,24636,30222
AT_5,2017,24102,30088
AT_5,2018,23566,30922
AT_5,2019,23026,33020
AT_5,2020,22488,32040
AT_3,2013,3494,4017
AT_3,2014,3434,3064
AT_3,2015,3373,3075
AT_3,2016,3311,3436
AT_3,2017,3248,3487
AT_3,2018,3185,3738
AT_3,2019,3120,5129
AT_3,2020,3056,5548
AT_59,2013,90297,94294
AT_59,2014,88729,94318
AT_59,2015,87142,93010
AT_59,2016,85539,8373
AT_59,2017,13237,9051
AT_59,2018,12980,8695
AT_59,2019,12718,9459
AT_59,2020,12455,9683
AT_53,2013,19446,16663
AT_53,2014,19109,17923
AT_53,2015,18767,18161
AT_53,2016,18422,18188
AT_53,2017,18073,20052
AT_53,2018,17720,20139
AT_53,2019,17363,20111
AT_53,2020,17005,19961
AT_69,2013,145063,40234
AT_69,2014,142542,25262
AT_69,2015,91990,20813
AT_69,2016,80485,17666
AT_69,2017,69335,19581
AT_69,2018,58545,20301
AT_69,2019,48105,18432
AT_69,2020,38056,17640
AT_78,2013,10150,18654
AT_78,2014,9083,17509
AT_78,2015,8047,14754
AT_78,2016,7043,13070
AT_78,2017,6071,15190
AT_78,2018,5130,16311
AT_78,2019,4220,15180
AT_78,2020,3342,14786
AT_79,2013,8994,206401
AT_79,2014,7468,236873
AT_79,2015,6100,270681
AT_79,2016,4888,203045
AT_79,2017,3825,7775
AT_79,2018,3195,6576
AT_79,2019,2628,6660
AT_79,2020,2081,6267
AT_91,2013,294089,191794
AT_91,2014,288838,203595
AT_91,2015,283533,206097
AT_91,2016,278178,219510
AT_91,2017,272773,189999
AT_91,2018,267321,234800
AT_91,2019,261809,233084
AT_91,2020,256284,238564
AT_80,2013,31409,24792
AT_80,2014,28108,20667
AT_80,2015,24900,11131
AT_80,2016,21795,13685
AT_80,2017,18787,5887
AT_80,2018,15876,7118
AT_80,2019,13060,4240
AT_80,2020,10343,5200
AT_81,2013,13808,9483
AT_81,2014,12357,6969
AT_81,2015,10946,7941
AT_81,2016,9577,7434
AT_81,2017,8250,9347
AT_81,2018,6966,8447
AT_81,2019,5724,9360
AT_81,2020,4528,9349
AT_42,2013,38590,28113
AT_42,2014,37920,26343
AT_42,2015,37242,29823
AT_42,2016,36557,28079
AT_42,2017,35864,26945
AT_42,2018,35165,22541
AT_42,2019,34457,22549
AT_42,2020,33746,24738
AT_61,2013,293901,278083
AT_61,2014,288796,269972
AT_61,2015,283632,308842
AT_61,2016,278413,316567
AT_61,2017,273138,323694
AT_61,2018,267812,326094
AT_61,2019,262420,300968
AT_61,2020,257008,331919
AT_18,2013,2702,64742
AT_18,2014,2419,45943
AT_18,2015,2142,31223
AT_18,2016,1874,22436
AT_18,2017,1615,48176
AT_18,2018,1363,36272
AT_18,2019,1120,16272
AT_18,2020,886,6046
AT_63,2013,581745,598660
AT_63,2014,571641,594014
AT_63,2015,561417,617406
AT_63,2016,551088,610830
AT_63,2017,540647,539340
AT_63,2018,530104,601756
AT_63,2019,519430,610139
AT_63,2020,508719,607967
AT_19,2013,1851,2619
AT_19,2014,3312,25
AT_19,2015,0,6
AT_19,2016,0,1
AT_19,2017,0,1
AT_19,2018,0,1
AT_19,2019,0,2
AT_19,2020,0,2
AT_121,2013,10002,2148
AT_121,2014,9827,4231
AT_121,2015,9652,3116
AT_121,2016,9474,3255
